Linux 5.15.0-131-generic (node0.parthaw-244324.hyflowtm-pg0.wisc.cloudlab.us) 	03/01/2025 	_x86_64_	(40 CPU)

10:43:35 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:08:45 PM 186357232 187047528   5971404      3.04     86496   3786748  31530956     15.38    388608   7947720       308
11:08:55 PM 186429484 187119952   5898920      3.00     86512   3786896  31455336     15.34    388636   7878960       172
11:09:05 PM 186446288 187136888   5881996      2.99     86528   3787028  31423280     15.32    388648   7855392       124
11:09:15 PM 186427628 187118716   5900168      3.00     86544   3787496  31448464     15.34    388664   7868296        96
11:09:25 PM 186414584 187105856   5913072      3.01     86560   3787644  31469268     15.35    388680   7899376        88
11:09:35 PM 186376136 187067548   5951280      3.03     86576   3787772  31473232     15.35    388696   7906860        72
11:09:45 PM 186373404 187064968   5953716      3.03     86592   3787924  31498480     15.36    388704   7936260        76
11:09:55 PM 192285340 192975644   2174688      1.11     86644   1690160   3014628      1.47    388648   2173504         0
11:10:05 PM 186993080 187687104   5544876      2.82     86800   3572464  31066744     15.15    388988   7306200       328
11:10:15 PM 186677944 187372980   5677100      2.89     86816   3749484  31176988     15.20    389004   7530420       220
11:10:25 PM 186582520 187277572   5769636      2.93     86844   3749592  31213312     15.22    389032   7646540       408
11:10:35 PM 186451512 187146808   5834832      2.97     86860   3816400  31337340     15.28    389048   7793524       176
11:10:45 PM 186450308 187145840   5833476      2.97     86876   3820768  31400636     15.31    389064   7800128       168
11:10:55 PM 186313504 187008980   5928036      3.01     86892   3862388  31459288     15.34    389080   7918216       196
11:11:05 PM 186343676 187039432   5895024      3.00     86908   3862708  31497320     15.36    389088   7890680       292
11:11:15 PM 186291940 186987864   5871344      2.99     86924   3940096  31530712     15.38    389112   7955076       112
11:11:25 PM 186185924 186882136   5977292      3.04     86940   3940184  31576420     15.40    389120   8032228       216
11:11:35 PM 186222572 186918648   5940212      3.02     86956   3940288  31620952     15.42    389136   8027548       168
11:11:45 PM 186084308 186780460   6084920      3.09     86964   3940396  31699500     15.46    389152   8164836       124
11:11:55 PM 186065160 186761240   6099372      3.10     86980   3940500  31720592     15.47    389168   8189072       144
11:12:05 PM 186082760 186779572   6077060      3.09     87000   3940944  31711240     15.46    389188   8142804       108
11:12:15 PM 185841224 186538148   6181536      3.14     87016   4081696  31888232     15.55    389204   8376744       108
11:12:25 PM 185857096 186553984   6171168      3.14     87032   4081796  31633132     15.43    389220   8410896        80
11:12:35 PM 185901008 186598216   6121940      3.11     87048   4081892  31869488     15.54    389236   8336760        72
11:12:45 PM 185861928 186559200   6160884      3.13     87076   4081988  31890404     15.55    389264   8373088        40
11:12:55 PM 185879404 186576976   6140792      3.12     87120   4082088  31895108     15.55    389304   8346128        40
11:13:05 PM 185798800 186496568   6223580      3.16     87184   4082512  31939660     15.58    389372   8446736        12
11:13:15 PM 185762048 186460076   6256812      3.18     87216   4082620  31949036     15.58    389408   8450392       180
11:13:25 PM 185827148 186525804   6192784      3.15     87248   4082724  31930280     15.57    389436   8395836       168
11:13:35 PM 185767544 186466048   6252936      3.18     87272   4082824  31952804     15.58    389464   8461628       200
11:13:45 PM 185775252 186473788   6244732      3.18     87288   4082912  31872840     15.54    389480   8402852       148
11:13:55 PM 185935712 186634540   6085272      3.09     87304   4083056  31832968     15.52    389496   8291144       228
11:14:05 PM 185905220 186604140   6116832      3.11     87320   4083348  31786620     15.50    389512   8295924       156
11:14:15 PM 185923780 186622840   6096520      3.10     87336   4083432  31770876     15.49    389528   8255032       140
11:14:25 PM 185867984 186567104   6061564      3.08     87352   4174900  31868108     15.54    389544   8379752       144
11:14:35 PM 185815792 186515112   6109436      3.11     87368   4174996  31863420     15.54    389560   8374144       112
11:14:45 PM 185877036 186576524   6051660      3.08     87384   4175092  31849356     15.53    389576   8337132       132
11:14:55 PM 185818652 186518344   6108436      3.11     87400   4175220  31904264     15.56    389592   8408988       136
11:15:05 PM 185799320 186499324   6130824      3.12     87416   4175640  31908960     15.56    389608   8420112       284
11:15:15 PM 185806460 186506656   6117676      3.11     87436   4175732  31901940     15.56    389628   8393848       112
11:15:25 PM 185732940 186433412   6193144      3.15     87460   4175824  31938268     15.58    389644   8444868       172
11:15:35 PM 185745636 186445800   6181604      3.14     87476   4175920  31955876     15.58    389660   8496848       160
11:15:45 PM 192336296 193035380   2110604      1.07     87488   1696164   3004888      1.47    389912   2098932        24
11:15:55 PM 187387360 188088204   5342396      2.72     87684   3372572  30273036     14.76    390296   6936140        48
11:16:05 PM 186722944 187425276   5630808      2.86     87700   3746092  31203868     15.22    390312   7578824        32
11:16:15 PM 186276976 186979432   5888268      2.99     87728   3940712  31501532     15.36    390336   7981460       184
11:16:25 PM 186103204 186805688   6057432      3.08     87744   3940812  31592440     15.41    390352   8105748        12
11:16:35 PM 186155732 186858440   6004844      3.05     87760   3940900  31632292     15.43    390368   8095508       272
11:16:45 PM 186034264 186737200   6124544      3.11     87776   3941000  31689704     15.45    390384   8178412       240
11:16:55 PM 186087176 186790020   6071904      3.09     87792   3941384  31719012     15.47    390400   8170056       568
11:17:05 PM 186046748 186749740   6107128      3.11     87808   3947348  31687360     15.45    390416   8182548       420
11:17:15 PM 186105508 186808452   6049460      3.08     87824   3947456  31709652     15.46    390432   8156632       244
11:17:25 PM 186000632 186704232   6152016      3.13     87840   3947568  31757556     15.49    390448   8255768       252
11:17:35 PM 185825920 186529304   6224008      3.16     87856   4053148  31906380     15.56    390464   8410220       176
11:17:45 PM 185778412 186482104   6245848      3.18     87872   4073204  31960340     15.59    390480   8437596       260
11:17:55 PM 185682356 186386540   6345624      3.23     87892   4073624  32015448     15.61    390500   8546968       136
11:18:05 PM 185666028 186370156   6361260      3.23     87908   4073716  32050612     15.63    390516   8545244       144
11:18:15 PM 185652868 186357128   6374780      3.24     87924   4073828  32054800     15.63    390536   8587004       132
11:18:25 PM 185672204 186376452   6352716      3.23     87944   4073932  32035364     15.62    390552   8587148       124
11:18:35 PM 185642268 186346932   6385196      3.25     87988   4074020  32045912     15.63    390592   8566812       120
11:18:45 PM 185643680 186348536   6379788      3.24     88056   4074120  32062308     15.64    390660   8597896        68
11:18:55 PM 185623216 186328188   6404000      3.26     88096   4074568  32086924     15.65    390704   8595184        92
11:19:05 PM 185544464 186250092   6480108      3.29     88132   4074664  32118508     15.66    390740   8663192        96
