procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 186114608  87800 4127460    0    0     0   113 22023 77381  6  3 91  0  0
 2  0      0 186063376  87816 4133564    0    0     0    88 21163 80211  6  3 91  0  0
 4  0      0 186070272  87832 4133336    0    0     0    75 20917 78920  6  3 91  0  0
 5  0      0 185957840  87848 4133656    0    0     0    62 20715 78232  6  3 91  0  0
 1  0      0 185812784  87864 4239480    0    0     0    84 23085 79212  6  3 91  0  0
 2  0      0 185687456  87880 4259656    0    0     0    99 23155 80387  6  3 91  0  0
 4  0      0 185660416  87900 4259628    0    0     0   140 22285 79986  6  3 91  0  0
 2  0      0 185710368  87916 4259948    0    0     0    79 21811 81225  6  3 91  0  0
 2  0      0 185633024  87936 4259684    0    0     0    84 20592 79890  5  3 91  0  0
 4  0      0 185698448  87960 4259656    0    0     0    94 22291 77878  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 185662112  88016 4260012    0    0     0    85 21581 74455  5  3 91  0  0
 3  0      0 185615168  88072 4259924    0    0     0    92 20953 77578  5  3 91  0  0
 7  0      0 185633344  88112 4260228    0    0     0   145 21826 75970  5  3 91  0  0
 3  0      0 185527984  88140 4260972    0    0     0    99 24328 76836  5  3 91  0  0
 2  0      0 185533936  88156 4261012    0    0     0    64 21285 74887  5  3 91  0  0
 5  0      0 185662128  88172 4261096    0    0     0    96 23978 74477  6  3 91  0  0
 3  0      0 185683552  88188 4261072    0    0     0    80 22003 75771  5  3 91  0  0
 5  0      0 185748896  88204 4261432    0    0     0    92 21970 76429  5  3 91  0  0
 5  0      0 185679056  88220 4261656    0    0     0   134 21074 78150  5  3 91  0  0
 7  0      0 185675664  88236 4261704    0    0     0    82 22728 75277  6  3 91  0  0
 6  0      0 185635424  88252 4261696    0    0     0    88 21218 76248  5  3 92  0  0
 5  0      0 185579392  88268 4262040    0    0     0   108 22692 77328  5  3 91  0  0
 2  0      0 185623776  88284 4261996    0    0     0    82 21550 74303  5  3 92  0  0
 2  0      0 185622848  88300 4262068    0    0     0    92 22573 76329  6  3 91  0  0
 2  0      0 185605056  88316 4262656    0    0     0   135 22309 75896  5  3 91  0  0
14  0      0 192002656  88392 1887352    0    0     0   151 10700 29315  3  3 94  0  0
 2  0      0 186278368  88600 4243680    0    0    12   245 23223 72408 27  7 66  0  0
 3  0      0 185876608  88616 4625772    0    0     0    80 23667 76538  6  3 91  0  0
 6  0      0 185592336  88636 4724372    0    0     0    79 23010 75081  6  3 91  0  0
 3  0      0 185400784  88652 4725916    0    0     0    72 20731 73999  6  3 91  0  0
 5  0      0 185480144  88668 4726816    0    0     0    68 23688 73215  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 185387264  88684 4726384    0    0     0    76 21343 74094  6  3 91  0  0
 3  0      0 185212288  88700 4742580    0    0     0   120 23163 76260  6  3 91  0  0
 1  0      0 185427536  88716 4742428    0    0     0    76 24422 72766  6  3 91  0  0
 3  0      0 185349888  88732 4742432    0    0     0    56 23123 73750  6  3 91  0  0
 1  0      0 185173568  88748 4742464    0    0     0    75 24463 72894  6  3 91  0  0
 3  0      0 185287776  88764 4742184    0    0     0    67 25589 71309  5  3 92  0  0
 4  0      0 185148000  88780 4742664    0    0     0    75 22695 72577  5  3 91  0  0
 3  0      0 185043712  88800 4742760    0    0     0   133 26143 73631  6  3 91  0  0
 1  0      0 185120272  88816 4780236    0    0     0    66 24395 71652  5  3 91  0  0
 3  0      0 185056032  88832 4780340    0    0     0    68 22928 70675  5  3 91  0  0
 6  0      0 184897200  88848 4780688    0    0     0    74 24541 73411  6  3 91  0  0
 6  0      0 185124704  88864 4781084    0    0     0    77 24461 75661  6  3 91  0  0
 2  0      0 185118032  88888 4780800    0    0     0    98 23258 71841  6  3 91  0  0
 4  0      0 185082144  88920 4781476    0    0     0   156 21207 72363  6  3 91  0  0
 7  0      0 185041744  88960 4781524    0    0     0    77 23172 72644  6  3 91  0  0
 2  0      0 184948592  89028 4781624    0    0     0    96 22415 71977  6  3 91  0  0
 3  0      0 184932192  89068 4781456    0    0     0    84 21734 73967  6  3 91  0  0
 4  0      0 184879520  89088 4781708    0    0     0    86 25965 73331  5  3 91  0  0
 4  0      0 184889584  89104 4781880    0    0     0    86 24312 73018  6  3 91  0  0
 4  0      0 184961120  89120 4782488    0    0     0   134 21296 72955  6  3 91  0  0
 2  0      0 185134224  89136 4782496    0    0     0    83 22173 73100  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 185190208  89152 4782004    0    0     0    84 24370 72055  6  3 91  0  0
 1  0      0 185117328  89168 4886160    0    0     0    79 23826 73476  6  3 91  0  0
 3  0      0 184868384  89184 5042600    0    0     0    84 22649 75448  6  3 91  0  0
 5  0      0 184870112  89200 5042368    0    0     0    78 24060 71278  5  3 92  0  0
 2  0      0 184880096  89216 5042840    0    0     0   134 24291 72464  6  3 91  0  0
 3  0      0 184840864  89236 5042852    0    0     0    85 21229 77477  6  3 91  0  0
 4  0      0 184822208  89252 5043524    0    0     0    76 20510 71804  5  3 91  0  0
 2  0      0 184885376  89268 5043012    0    0     0    80 20611 75716  6  3 91  0  0
 6  0      0 184801072  89284 5043392    0    0     0    84 23082 77976  6  3 91  0  0
 3  0      0 184778592  89300 5043228    0    0     0    97 23343 74301  6  3 91  0  0
 3  0      0 184781328  89316 5043628    0    0     0   138 20690 72866  6  3 91  0  0
42  0      0 190969280  89364 1894820    0    0     0   117 8838 22079  8  4 88  0  0
 2  0      0 186198592  89472 4281076    0    0     0   221 23664 76596 23  6 71  0  0
 8  0      0 185606304  89492 4741836    0    0     0    79 21517 73700  6  3 91  0  0
 7  0      0 185356992  89508 4774396    0    0     0    68 22873 75786  6  3 91  0  0
 5  0      0 185322160  89524 4774388    0    0     0    73 20897 74217  6  3 91  0  0
 8  0      0 185118304  89540 4773856    0    0     0    44 22723 74641  6  3 91  0  0
 7  0      0 185087104  89556 4773452    0    0     0    65 21790 74884  6  3 91  0  0
 3  0      0 185089680  89572 4774292    0    0     0   113 21005 74085  6  3 91  0  0
 5  0      0 185089504  89588 4774752    0    0     0    68 25455 74332  6  3 91  0  0
 4  0      0 185080768  89604 4773936    0    0     0    63 21300 75427  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 185157920  89620 4774256    0    0     0    78 24557 72314  5  3 91  0  0
 3  0      0 185017136  89636 4774396    0    0     0    74 25479 71234  6  3 91  0  0
 3  0      0 184864160  89652 4893680    0    0     0    79 21473 72864  6  3 91  0  0
 7  0      0 184668064  89672 4894164    0    0     0   123 24159 76036  6  3 91  0  0
 7  0      0 184666288  89688 4894072    0    0     0    68 25503 72558  6  3 91  0  0
 2  0      0 184679648  89704 4894464    0    0     0    74 23814 71955  6  3 91  0  0
 3  0      0 184535664  89720 4894636    0    0     0    71 21206 73172  6  3 91  0  0
 4  0      0 184547744  89736 4894600    0    0     0    76 23570 72868  6  3 91  0  0
 5  0      0 184655616  89776 4894336    0    0     0    76 23812 72889  6  3 91  0  0
 2  0      0 184574048  89824 4895264    0    0     0   152 23643 71600  6  3 91  0  0
 2  0      0 184596672  89880 4895756    0    0     0    88 21733 76487  6  3 91  0  0
 4  0      0 184556384  89924 4895232    0    0     0    98 20894 76286  6  3 91  0  0
 6  0      0 184494880  89944 4895320    0    0     0    88 25835 72588  5  3 91  0  0
 4  0      0 184530640  89960 4895124    0    0     0    90 23979 71164  6  3 91  0  0
 3  0      0 184505568  89976 4895380    0    0     0   100 23147 73562  6  3 91  0  0
 6  0      0 184580064  89992 4895292    0    0     0   129 22588 73232  6  3 91  0  0
 6  0      0 184717120  90008 4896184    0    0     0    90 24254 73284  6  3 91  0  0
 1  0      0 184728624  90024 4896320    0    0     0    58 22571 72494  6  3 91  0  0
 7  0      0 184762640  90040 4895604    0    0     0    74 24791 70859  6  3 91  0  0
 7  0      0 184725168  90064 4895996    0    0     0    92 21244 72003  6  3 91  0  0
 2  0      0 184612448  90080 4897096    0    0     0   102 22930 73234  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 184695632  90096 4896564    0    0     0   135 22955 71804  6  3 91  0  0
 3  0      0 184635440  90116 4896896    0    0     0    85 24421 71198  6  3 91  0  0
 3  0      0 184619472  90132 4897052    0    0     0    81 25648 71339  6  3 91  0  0
 1  0      0 184612880  90148 4897436    0    0     0    85 24926 71575  6  3 91  0  0
39  0      0 189666752  90324 2073004    0    0     6    87 9442 18743 11  5 84  0  0
 1  0      0 185596512  90360 4731220    0    0     0   208 23172 70689 19  6 75  0  0
 6  0      0 185295840  90380 4945232    0    0     0    76 22839 68750  6  3 91  0  0
 3  0      0 184939440  90396 5053312    0    0     0    90 23270 68207  6  3 91  0  0
