Linux 5.15.0-131-generic (node0.parthaw-241019.hyflowtm-pg0.wisc.cloudlab.us) 	02/11/2025 	_x86_64_	(40 CPU)

02:02:22 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
04:12:22 PM 183422680 192062732   2938940      1.49    184156   9434444   3588168      1.75    913444  10127844        28
04:13:22 PM 183422476 192062572   2939256      1.49    184188   9434448   3588168      1.75    913484  10127844       208
04:14:22 PM 183421340 192061488   2940380      1.50    184236   9434452   3590260      1.75    913536  10129568        28
04:15:22 PM 183421384 192061576   2940344      1.50    184284   9434456   3594444      1.75    913580  10131540         4
04:16:22 PM 183429904 192070160   2931620      1.49    184332   9434464   3588168      1.75    913628  10127832         4
04:17:22 PM 183430104 192070424   2931716      1.49    184388   9434472   3588168      1.75    913684  10127844        12
04:18:22 PM 183431580 192071944   2930232      1.49    184436   9434476   3592352      1.75    913724  10129600        40
04:19:22 PM 183432036 192072444   2929632      1.49    184476   9434480   3588168      1.75    913764  10127828        28
04:20:22 PM 183432288 192072748   2929408      1.49    184516   9434484   3588168      1.75    913812  10127884        28
04:21:22 PM 183431784 192072280   2930036      1.49    184548   9434488   3588168      1.75    913844  10127888       164
04:22:22 PM 183431832 192072384   2929860      1.49    184604   9434488   3588168      1.75    913900  10127888         4
04:23:22 PM 183432012 192072620   2929868      1.49    184652   9434496   3592352      1.75    913952  10129748         4
04:24:22 PM 183434208 192074864   2927792      1.49    184700   9434496   3588168      1.75    913988  10127868        28
04:25:22 PM 183435024 192075736   2926888      1.49    184740   9434504   3588168      1.75    914036  10127876         4
04:26:22 PM 183435512 192076276   2926356      1.49    184796   9434508   3592344      1.75    914092  10131316        28
04:27:22 PM 183420556 192069604   2932804      1.49    184856   9442700   3596520      1.75    914164  10141484         4
04:28:22 PM 183427976 192077084   2925532      1.49    184912   9442704   3590260      1.75    914212  10137828        28
04:29:22 PM 183422628 192071776   2930640      1.49    184952   9442704   3594444      1.75    914260  10141268       152
04:30:22 PM 183421940 192071140   2931236      1.49    184992   9442716   3594444      1.75    914300  10141256         4
04:31:22 PM 183428084 192077336   2925276      1.49    185080   9442720   3590260      1.75    914332  10137804        56
04:32:22 PM 183431780 192081132   2921560      1.49    185144   9442724   3586556      1.75    914416  10135356        28
Average:    183435610 192073088   2929427      1.49    181505   9434526   3560648      1.74    910782  10128031        78
