Bzy_MHz	TSC_MHz	CoreTmp	PkgWatt
2416	2200	32	94.28
1334	2200	28	61.46
930	2200	28	59.70
921	2200	28	59.33
863	2200	28	61.07
856	2200	27	60.93
897	2200	27	61.79
894	2200	27	61.96
905	2200	27	60.35
861	2200	27	60.92
879	2200	27	61.30
899	2200	27	62.82
903	2200	27	60.45
863	2200	27	62.21
869	2200	27	60.76
896	2200	27	61.89
911	2200	27	60.89
853	2200	27	61.78
852	2200	27	60.26
880	2200	27	61.04
920	2200	27	59.25
867	2200	27	61.88
868	2200	30	59.67
2039	2200	27	57.99
2401	2200	35	75.55
2036	2200	28	78.19
974	2200	28	60.12
933	2200	28	60.47
856	2200	28	62.36
859	2200	27	61.50
882	2200	28	63.28
882	2200	28	62.20
873	2200	28	62.96
839	2200	28	63.86
881	2200	28	63.72
875	2200	28	62.86
871	2200	28	61.74
850	2200	28	61.85
856	2200	28	63.50
867	2200	28	62.78
860	2200	28	62.56
829	2200	29	63.70
853	2200	28	63.39
853	2200	28	62.65
893	2200	28	60.90
833	2200	28	63.12
1089	2200	30	63.40
1632	2200	28	58.86
816	2200	27	47.03
814	2200	27	47.10
816	2200	27	47.04
814	2200	27	47.04
817	2200	27	47.00
815	2200	27	47.07
818	2200	27	47.09
827	2200	27	47.14
815	2200	27	47.03
818	2200	26	47.05
816	2200	26	47.03
814	2200	26	47.02
814	2200	26	46.93
815	2200	26	46.94
814	2200	26	46.89
816	2200	26	46.93
818	2200	26	46.95
814	2200	26	47.04
815	2200	26	47.00
816	2200	26	47.00
815	2200	27	47.04
814	2200	27	47.00
818	2200	26	46.92
815	2200	26	46.97
816	2200	27	46.92
816	2200	26	46.95
816	2200	26	46.98
815	2200	26	46.91
816	2200	26	46.91
815	2200	26	46.83
815	2200	26	46.94
815	2200	26	46.89
816	2200	26	46.89
832	2200	26	46.90
815	2200	26	46.85
826	2200	26	47.00
823	2200	26	46.87
815	2200	26	46.87
815	2200	26	46.91
815	2200	26	47.00
819	2200	26	47.01
828	2200	26	47.09
814	2200	26	46.93
815	2200	26	46.97
816	2200	26	46.95
817	2200	27	46.91
815	2200	26	46.90
816	2200	26	46.89
815	2200	26	46.85
815	2200	26	46.95
817	2200	27	46.97
816	2200	26	47.02
816	2200	26	46.95
815	2200	26	46.91
815	2200	26	46.98
816	2200	26	46.99
816	2200	26	46.98
816	2200	26	46.99
815	2200	26	47.03
818	2200	26	46.91
818	2200	26	46.99
814	2200	26	46.87
818	2200	26	46.97
814	2200	26	47.02
815	2200	26	46.95
815	2200	26	46.90
815	2200	26	46.87
815	2200	26	46.97
818	2200	26	46.97
816	2200	26	47.04
818	2200	26	46.90
815	2200	26	46.89
814	2200	26	46.93
836	2200	26	46.95
815	2200	26	46.89
883	2200	26	47.24
