Linux 5.15.0-131-generic (node0.parthaw-244100.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(128 CPU)

11:23:04 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:42:44 PM 498926144 498791612  15258140      2.89    196680  12126156 121556892     22.67   3333064  21854960       124
11:42:54 PM 498866840 498732456  15319536      2.90    196692  12127900 121624468     22.68   3333072  21896868       144
11:43:04 PM 498775032 498640792  15409020      2.92    196708  12128032 121663948     22.69   3333096  21968684       248
11:43:14 PM 514220760 514086612   4458000      0.84    196740   7715708  15544592      2.90   3332592   7126632        32
11:43:24 PM 500486084 500356900  14512264      2.75    197196  11310692 120457528     22.46   3334588  20441004       772
11:43:34 PM 499617288 499489236  14895124      2.82    197212  11791644 121058796     22.57   3334604  21271372       360
11:43:44 PM 499346576 499219104  15016136      2.84    197228  11943420 121335644     22.62   3334620  21482564       432
11:43:54 PM 499146608 499018300  15218188      2.88    197252  11943576 121477584     22.65   3334644  21717188       320
11:44:04 PM 499156336 499028104  15208344      2.88    197268  11943736 121477048     22.65   3334660  21715364       304
11:44:14 PM 499196360 499068256  15167264      2.87    197284  11943876 121475548     22.65   3334680  21664780       304
11:44:24 PM 499064808 498937340  15302464      2.90    197312  11944648 121539216     22.66   3334696  21790080       352
11:44:34 PM 498941364 498814112  15424116      2.92    197328  11944808 121698416     22.69   3334716  21938572       140
11:44:44 PM 498925384 498798392  15439116      2.92    197344  11944996 121795300     22.71   3334728  22011196        72
11:44:54 PM 498841744 498714800  15525260      2.94    197360  11945160 121786456     22.71   3334744  22051532       176
11:45:04 PM 498884380 498757684  15481068      2.93    197404  11945312 121762480     22.70   3334784  21999980       252
11:45:14 PM 498868708 498742264  15500928      2.94    197480  11945472 121813544     22.71   3334860  22037144        92
11:45:24 PM 498780116 498654868  15584156      2.95    197524  11946612 121843732     22.72   3334900  22132536       184
11:45:34 PM 498757636 498632564  15606440      2.96    197548  11946776 121815624     22.71   3334932  22080052        56
11:45:44 PM 498777220 498652348  15587260      2.95    197564  11946972 121757000     22.70   3334940  22047008       244
11:45:54 PM 498823868 498699124  15540872      2.94    197564  11947144 121705212     22.69   3334956  21996068       148
11:46:04 PM 498819056 498694400  15545972      2.94    197576  11947292 121726340     22.70   3334968  21988504       136
11:46:14 PM 498730532 498606092  15607912      2.96    197592  11974028 121797416     22.71   3334980  22088336        88
11:46:24 PM 498636368 498512872  15605468      2.96    197608  12068656 121892680     22.73   3335000  22195232        76
11:46:34 PM 498569904 498446628  15672596      2.97    197624  12068824 121921704     22.73   3335012  22204364       428
11:46:44 PM 504450052 504332208  13940596      2.64    198100   7926072 115871884     21.61   3335556  16631920      3644
11:46:54 PM 499397324 499280188  14647452      2.77    198120  12264176 121328192     22.62   3336476  21517976       740
11:47:04 PM 498803824 498687804  14842328      2.81    198136  12658848 121762100     22.70   3336488  22097380       244
11:47:14 PM 498420068 498304820  15028696      2.85    198152  12854320 122114268     22.77   3336504  22363496       228
11:47:24 PM 498077720 497964344  15363968      2.91    198168  12854464 122237192     22.79   3336520  22605008       200
11:47:34 PM 498003732 497889336  15252876      2.89    198184  13046008 122419216     22.83   3336540  22698192       228
11:47:44 PM 497795600 497681736  15458732      2.93    198204  13046580 122480968     22.84   3336560  22869056      1016
11:47:54 PM 497712696 497600456  15535228      2.94    198220  13046988 122606228     22.86   3336572  22947692       236
11:48:04 PM 497505096 497392224  15744248      2.98    198236  13047120 122719136     22.88   3336588  23150768       236
11:48:14 PM 497542324 497429704  15709504      2.98    198252  13047244 122762492     22.89   3336604  23151692       168
11:48:24 PM 497709368 497596456  15544460      2.94    198268  13047396 122654676     22.87   3336616  22981500       296
11:48:34 PM 497663868 497550976  15588580      2.95    198288  13047516 122602960     22.86   3336644  22993292       188
11:48:44 PM 497573612 497460916  15676088      2.97    198332  13048480 122720040     22.88   3336684  23060432      1328
11:48:54 PM 497464700 497353420  15786040      2.99    198408  13048860 122802080     22.90   3336760  23203312        92
11:49:04 PM 497412648 497301144  15837316      3.00    198444  13049000 122885300     22.91   3336792  23250784       136
11:49:14 PM 497378812 497267352  15871584      3.01    198464  13049172 122834528     22.90   3336816  23268232       124
11:49:24 PM 497535756 497425196  15665560      2.97    198480  13096240 122666832     22.87   3336836  23088044        96
11:49:34 PM 497605112 497494524  15598200      2.95    198496  13096372 122596780     22.86   3336856  23048304       464
11:49:44 PM 497701748 497591568  15500228      2.94    198520  13097092 122576736     22.86   3336876  22986760         0
11:49:54 PM 497688224 497578656  15514644      2.94    198532  13097432 122574768     22.86   3336888  22953604        16
11:50:04 PM 497602732 497493152  15599812      2.95    198548  13097608 122633236     22.87   3336896  23054588       292
11:50:14 PM 497604876 497495160  15597988      2.95    198560  13097732 122662528     22.87   3336916  23071620       500
11:50:24 PM 497564700 497454732  15641680      2.96    198572  13097852 122697704     22.88   3336920  23124480       480
11:50:34 PM 511697084 511588092   5141180      0.97    198588   9546228  22493572      4.19   4515332   8485148      1120
11:50:44 PM 500859132 500753304  14332852      2.71    199044  11113160 119128672     22.21   3338280  20088296       668
11:50:54 PM 499450564 499344972  14918132      2.83    199056  11932416 121260400     22.61   3338336  21448868       320
11:51:04 PM 498342748 498237912  15371076      2.91    199080  12588044 122086736     22.76   3338900  22389656       148
11:51:14 PM 498100112 497994896  15563072      2.95    199096  12639440 122322812     22.81   3338928  22634672       156
11:51:24 PM 497814420 497710012  15648588      2.96    199112  12836848 122607596     22.86   3338944  22842960       172
11:51:34 PM 497797180 497692896  15667356      2.97    199128  12836988 122545404     22.85   3338960  22884168       124
