Linux 5.15.0-131-generic (node0.parthaw-244253.hyflowtm-pg0.clemson.cloudlab.us) 	03/01/2025 	_x86_64_	(48 CPU)

11:14:19 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
11:45:19 PM 248465780 249287784   6816328      2.58    167840   8089508  41747264     15.33    688016  13429764       156
11:45:29 PM 248058860 248881268   6923112      2.62    167856   8390440  42168728     15.48    688032  13856160       296
11:45:39 PM 247787304 248610768   7000584      2.65    167872   8582296  42480316     15.59    688048  14096804       240
11:45:49 PM 247597020 248420184   7194228      2.72    167888   8582460  42626440     15.65    688064  14342600       100
11:45:59 PM 247469696 248293156   7319468      2.77    167908   8582628  42663552     15.66    688084  14382744        92
11:46:09 PM 247529692 248353140   7260644      2.75    167948   8582792  42676024     15.67    688124  14320828        52
11:46:19 PM 247392828 248216532   7399360      2.80    168028   8582956  42706528     15.68    688204  14476840        32
11:46:29 PM 247373484 248197668   7414784      2.81    168080   8583156  42781512     15.71    688256  14501784       548
11:46:39 PM 247212780 248037536   7389220      2.80    168100   8771220  42908464     15.75    688272  14634392       372
11:46:49 PM 247535604 248360676   7065692      2.68    168112   8771384  42617172     15.64    688288  14325704       484
11:46:59 PM 247449104 248274496   7152460      2.71    168128   8771552  42646336     15.66    688304  14394092       360
11:47:09 PM 247364528 248189860   7233664      2.74    168144   8771728  42717312     15.68    688320  14463684       352
11:47:19 PM 247367204 248193060   7230272      2.74    168160   8771884  42797760     15.71    688332  14499528       316
11:47:29 PM 247277104 248102732   7323908      2.77    168172   8772068  42799720     15.71    688348  14566232       484
11:47:39 PM 247587532 248413556   7017724      2.66    168188   8772508  42533568     15.61    688368  14231600       112
11:47:49 PM 247599108 248425108   7006124      2.65    168192   8772512  42521192     15.61    688376  14229136        80
11:47:59 PM 247602316 248428364   7002852      2.65    168212   8772516  42523028     15.61    688392  14231052        60
11:48:09 PM 247611696 248437748   6993428      2.65    168220   8772520  42523028     15.61    688408  14230492        24
11:48:19 PM 247618048 248444136   6987032      2.65    168236   8772524  42523028     15.61    688428  14229884        60
11:48:29 PM 247606288 248432456   6998756      2.65    168292   8772544  42564576     15.63    688504  14268668       276
11:48:39 PM 255789940 256617216   5507452      2.09    168516   2083300  34282768     12.59    689068   6331160      1380
11:48:49 PM 255475404 256303824   5815712      2.20    168532   2089544  35151148     12.90    689096   6615672       796
11:48:59 PM 255423984 256253740   5864532      2.22    168676   2091088  35195556     12.92    689240   6688612       556
11:49:09 PM 255320004 256150932   5967332      2.26    168696   2092228  35225976     12.93    689260   6738844       388
11:49:19 PM 255328252 256160372   5958156      2.26    168720   2093368  35187176     12.92    689284   6715568       400
11:49:29 PM 255366868 256201968   5865576      2.22    168944   2145188  34794908     12.77    689524   6700072       536
11:49:39 PM 255025832 255862020   6202484      2.35    168968   2149368  35251256     12.94    689548   7051696       436
11:49:49 PM 254916660 255754028   6310056      2.39    169100   2150400  35553008     13.05    689680   7142512       384
11:49:59 PM 254808588 255647016   6417016      2.43    169120   2151432  35552268     13.05    689700   7276884       396
11:50:09 PM 254765544 255605056   6459280      2.45    169136   2152480  35435244     13.01    689716   7282416       520
11:50:19 PM 255026616 255867560   6299832      2.39    169352   2047192  37203820     13.66    690088   7059660         0
11:50:29 PM 254689892 255532724   6481564      2.46    169356   2204916  35745860     13.12    689940   7396976       264
11:50:39 PM 254536096 255380040   6631504      2.51    169484   2208200  35841948     13.16    690068   7526316       160
11:50:49 PM 254313404 255158376   6853388      2.60    169508   2209204  36069332     13.24    690092   7748076       768
11:50:59 PM 254248972 255094940   6916652      2.62    169524   2210184  36099804     13.25    690108   7801852       732
11:51:09 PM 259613952 260460776   1733928      0.66    169572   2052608   3206128      1.18    689916   2508516       840
11:51:19 PM 254502316 255351312   6612024      2.50    169748   2262532  35863260     13.17    690340   7571932       836
11:51:29 PM 254123152 254973148   6983168      2.64    169792   2269728  36197936     13.29    690384   7945492       400
11:51:39 PM 253944356 254795384   7160972      2.71    169896   2270640  36348704     13.34    690488   8114624       516
11:51:49 PM 253724288 254576272   7380132      2.80    169912   2271580  36324048     13.33    690504   8346048       332
