2025-03-01 14:34:59 - +48.0°C
2025-03-01 14:35:00 - +47.0°C
2025-03-01 14:35:01 - +48.0°C
2025-03-01 14:35:02 - +47.0°C
2025-03-01 14:35:03 - +47.0°C
2025-03-01 14:35:04 - +48.0°C
2025-03-01 14:35:05 - +49.0°C
2025-03-01 14:35:06 - +48.0°C
2025-03-01 14:35:07 - +49.0°C
2025-03-01 14:35:08 - +48.0°C
2025-03-01 14:35:09 - +48.0°C
2025-03-01 14:35:10 - +48.0°C
2025-03-01 14:35:12 - +47.0°C
2025-03-01 14:35:13 - +47.0°C
2025-03-01 14:35:14 - +47.0°C
2025-03-01 14:35:15 - +46.0°C
2025-03-01 14:35:16 - +48.0°C
2025-03-01 14:35:17 - +48.0°C
2025-03-01 14:35:18 - +47.0°C
2025-03-01 14:35:19 - +47.0°C
2025-03-01 14:35:20 - +47.0°C
2025-03-01 14:35:21 - +47.0°C
2025-03-01 14:35:22 - +46.0°C
2025-03-01 14:35:23 - +48.0°C
2025-03-01 14:35:24 - +47.0°C
2025-03-01 14:35:25 - +45.0°C
2025-03-01 14:35:26 - +47.0°C
2025-03-01 14:35:27 - +46.0°C
2025-03-01 14:35:28 - +47.0°C
2025-03-01 14:35:29 - +47.0°C
2025-03-01 14:35:30 - +46.0°C
2025-03-01 14:35:31 - +47.0°C
2025-03-01 14:35:32 - +46.0°C
2025-03-01 14:35:33 - +47.0°C
2025-03-01 14:35:34 - +46.0°C
2025-03-01 14:35:35 - +48.0°C
2025-03-01 14:35:36 - +46.0°C
2025-03-01 14:35:37 - +47.0°C
2025-03-01 14:35:38 - +47.0°C
2025-03-01 14:35:40 - +47.0°C
2025-03-01 14:35:41 - +46.0°C
2025-03-01 14:35:42 - +47.0°C
2025-03-01 14:35:43 - +46.0°C
2025-03-01 14:35:44 - +47.0°C
2025-03-01 14:35:45 - +46.0°C
2025-03-01 14:35:46 - +47.0°C
2025-03-01 14:35:47 - +46.0°C
2025-03-01 14:35:48 - +47.0°C
2025-03-01 14:35:49 - +47.0°C
2025-03-01 14:35:50 - +46.0°C
2025-03-01 14:35:51 - +46.0°C
2025-03-01 14:35:52 - +46.0°C
2025-03-01 14:35:53 - +46.0°C
2025-03-01 14:35:54 - +47.0°C
2025-03-01 14:35:55 - +46.0°C
2025-03-01 14:35:56 - +47.0°C
2025-03-01 14:35:57 - +47.0°C
2025-03-01 14:35:58 - +47.0°C
2025-03-01 14:35:59 - +48.0°C
2025-03-01 14:36:00 - +47.0°C
2025-03-01 14:36:01 - +46.0°C
2025-03-01 14:36:02 - +46.0°C
2025-03-01 14:36:03 - +47.0°C
2025-03-01 14:36:04 - +47.0°C
2025-03-01 14:36:05 - +47.0°C
2025-03-01 14:36:06 - +46.0°C
2025-03-01 14:36:07 - +47.0°C
2025-03-01 14:36:09 - +47.0°C
2025-03-01 14:36:10 - +46.0°C
2025-03-01 14:36:11 - +46.0°C
2025-03-01 14:36:12 - +45.0°C
2025-03-01 14:36:13 - +47.0°C
2025-03-01 14:36:14 - +45.0°C
2025-03-01 14:36:15 - +46.0°C
2025-03-01 14:36:16 - +46.0°C
2025-03-01 14:36:17 - +46.0°C
2025-03-01 14:36:18 - +47.0°C
2025-03-01 14:36:19 - +46.0°C
2025-03-01 14:36:20 - +46.0°C
2025-03-01 14:36:21 - +46.0°C
2025-03-01 14:36:22 - +45.0°C
2025-03-01 14:36:23 - +46.0°C
2025-03-01 14:36:24 - +46.0°C
2025-03-01 14:36:25 - +46.0°C
2025-03-01 14:36:26 - +46.0°C
2025-03-01 14:36:27 - +45.0°C
2025-03-01 14:36:28 - +45.0°C
2025-03-01 14:36:29 - +45.0°C
2025-03-01 14:36:30 - +45.0°C
2025-03-01 14:36:31 - +45.0°C
2025-03-01 14:36:32 - +46.0°C
2025-03-01 14:36:33 - +47.0°C
2025-03-01 14:36:34 - +46.0°C
2025-03-01 14:36:35 - +45.0°C
2025-03-01 14:36:36 - +46.0°C
2025-03-01 14:36:37 - +46.0°C
2025-03-01 14:36:39 - +46.0°C
2025-03-01 14:36:40 - +45.0°C
2025-03-01 14:36:41 - +45.0°C
2025-03-01 14:36:42 - +46.0°C
2025-03-01 14:36:43 - +47.0°C
2025-03-01 14:36:44 - +46.0°C
2025-03-01 14:36:45 - +46.0°C
2025-03-01 14:36:46 - +45.0°C
2025-03-01 14:36:47 - +46.0°C
2025-03-01 14:36:48 - +45.0°C
2025-03-01 14:36:49 - +45.0°C
2025-03-01 14:36:50 - +46.0°C
2025-03-01 14:36:51 - +47.0°C
2025-03-01 14:36:52 - +48.0°C
2025-03-01 14:36:53 - +48.0°C
2025-03-01 14:36:54 - +48.0°C
2025-03-01 14:36:55 - +46.0°C
2025-03-01 14:36:56 - +47.0°C
2025-03-01 14:36:57 - +46.0°C
2025-03-01 14:36:58 - +47.0°C
2025-03-01 14:36:59 - +46.0°C
2025-03-01 14:37:00 - +46.0°C
2025-03-01 14:37:01 - +47.0°C
2025-03-01 14:37:02 - +47.0°C
2025-03-01 14:37:03 - +46.0°C
2025-03-01 14:37:04 - +46.0°C
2025-03-01 14:37:06 - +46.0°C
2025-03-01 14:37:07 - +46.0°C
2025-03-01 14:37:08 - +46.0°C
2025-03-01 14:37:09 - +46.0°C
2025-03-01 14:37:10 - +47.0°C
2025-03-01 14:37:11 - +46.0°C
2025-03-01 14:37:12 - +46.0°C
2025-03-01 14:37:13 - +45.0°C
2025-03-01 14:37:14 - +46.0°C
2025-03-01 14:37:15 - +46.0°C
2025-03-01 14:37:16 - +46.0°C
2025-03-01 14:37:17 - +46.0°C
2025-03-01 14:37:18 - +46.0°C
2025-03-01 14:37:19 - +46.0°C
2025-03-01 14:37:20 - +46.0°C
2025-03-01 14:37:21 - +46.0°C
2025-03-01 14:37:22 - +46.0°C
2025-03-01 14:37:23 - +46.0°C
2025-03-01 14:37:24 - +46.0°C
2025-03-01 14:37:25 - +46.0°C
2025-03-01 14:37:26 - +47.0°C
2025-03-01 14:37:27 - +46.0°C
2025-03-01 14:37:28 - +46.0°C
2025-03-01 14:37:29 - +45.0°C
2025-03-01 14:37:30 - +45.0°C
2025-03-01 14:37:31 - +46.0°C
2025-03-01 14:37:32 - +46.0°C
2025-03-01 14:37:33 - +46.0°C
2025-03-01 14:37:35 - +46.0°C
2025-03-01 14:37:36 - +46.0°C
2025-03-01 14:37:37 - +46.0°C
2025-03-01 14:37:38 - +46.0°C
2025-03-01 14:37:39 - +46.0°C
2025-03-01 14:37:40 - +46.0°C
2025-03-01 14:37:41 - +46.0°C
2025-03-01 14:37:42 - +46.0°C
2025-03-01 14:37:43 - +46.0°C
2025-03-01 14:37:44 - +46.0°C
2025-03-01 14:37:45 - +45.0°C
2025-03-01 14:37:46 - +45.0°C
2025-03-01 14:37:47 - +46.0°C
2025-03-01 14:37:48 - +46.0°C
2025-03-01 14:37:49 - +46.0°C
2025-03-01 14:37:50 - +46.0°C
2025-03-01 14:37:51 - +46.0°C
2025-03-01 14:37:52 - +46.0°C
2025-03-01 14:37:53 - +45.0°C
2025-03-01 14:37:54 - +44.0°C
2025-03-01 14:37:55 - +46.0°C
2025-03-01 14:37:56 - +46.0°C
2025-03-01 14:37:57 - +45.0°C
2025-03-01 14:37:58 - +47.0°C
2025-03-01 14:37:59 - +47.0°C
2025-03-01 14:38:00 - +45.0°C
2025-03-01 14:38:01 - +47.0°C
2025-03-01 14:38:02 - +46.0°C
2025-03-01 14:38:04 - +45.0°C
2025-03-01 14:38:05 - +45.0°C
2025-03-01 14:38:06 - +46.0°C
2025-03-01 14:38:07 - +45.0°C
2025-03-01 14:38:08 - +45.0°C
2025-03-01 14:38:09 - +46.0°C
2025-03-01 14:38:10 - +46.0°C
2025-03-01 14:38:11 - +45.0°C
2025-03-01 14:38:12 - +45.0°C
2025-03-01 14:38:13 - +46.0°C
2025-03-01 14:38:14 - +45.0°C
2025-03-01 14:38:15 - +46.0°C
2025-03-01 14:38:16 - +46.0°C
2025-03-01 14:38:17 - +44.0°C
2025-03-01 14:38:18 - +45.0°C
2025-03-01 14:38:19 - +45.0°C
2025-03-01 14:38:20 - +46.0°C
2025-03-01 14:38:21 - +45.0°C
2025-03-01 14:38:22 - +46.0°C
2025-03-01 14:38:23 - +46.0°C
2025-03-01 14:38:24 - +46.0°C
2025-03-01 14:38:25 - +46.0°C
2025-03-01 14:38:26 - +45.0°C
2025-03-01 14:38:27 - +45.0°C
2025-03-01 14:38:28 - +46.0°C
2025-03-01 14:38:29 - +47.0°C
2025-03-01 14:38:30 - +48.0°C
2025-03-01 14:38:32 - +47.0°C
2025-03-01 14:38:33 - +47.0°C
2025-03-01 14:38:34 - +47.0°C
2025-03-01 14:38:35 - +47.0°C
2025-03-01 14:38:36 - +47.0°C
2025-03-01 14:38:37 - +46.0°C
2025-03-01 14:38:38 - +46.0°C
2025-03-01 14:38:39 - +46.0°C
2025-03-01 14:38:40 - +46.0°C
2025-03-01 14:38:41 - +47.0°C
2025-03-01 14:38:42 - +47.0°C
2025-03-01 14:38:43 - +47.0°C
2025-03-01 14:38:44 - +47.0°C
2025-03-01 14:38:45 - +46.0°C
2025-03-01 14:38:46 - +47.0°C
2025-03-01 14:38:47 - +46.0°C
2025-03-01 14:38:48 - +46.0°C
2025-03-01 14:38:49 - +46.0°C
2025-03-01 14:38:50 - +47.0°C
2025-03-01 14:38:51 - +46.0°C
2025-03-01 14:38:52 - +45.0°C
2025-03-01 14:38:53 - +46.0°C
2025-03-01 14:38:54 - +46.0°C
2025-03-01 14:38:55 - +46.0°C
2025-03-01 14:38:56 - +46.0°C
2025-03-01 14:38:57 - +46.0°C
2025-03-01 14:38:59 - +46.0°C
2025-03-01 14:39:00 - +47.0°C
2025-03-01 14:39:01 - +46.0°C
2025-03-01 14:39:02 - +46.0°C
2025-03-01 14:39:03 - +46.0°C
2025-03-01 14:39:04 - +46.0°C
2025-03-01 14:39:05 - +46.0°C
2025-03-01 14:39:06 - +46.0°C
2025-03-01 14:39:07 - +47.0°C
2025-03-01 14:39:08 - +46.0°C
2025-03-01 14:39:09 - +47.0°C
2025-03-01 14:39:10 - +46.0°C
2025-03-01 14:39:11 - +46.0°C
2025-03-01 14:39:12 - +46.0°C
2025-03-01 14:39:13 - +45.0°C
2025-03-01 14:39:14 - +46.0°C
2025-03-01 14:39:15 - +46.0°C
2025-03-01 14:39:16 - +46.0°C
2025-03-01 14:39:17 - +46.0°C
2025-03-01 14:39:18 - +46.0°C
2025-03-01 14:39:19 - +46.0°C
2025-03-01 14:39:20 - +45.0°C
2025-03-01 14:39:21 - +46.0°C
2025-03-01 14:39:22 - +46.0°C
2025-03-01 14:39:23 - +45.0°C
2025-03-01 14:39:24 - +46.0°C
2025-03-01 14:39:25 - +46.0°C
2025-03-01 14:39:26 - +46.0°C
2025-03-01 14:39:28 - +47.0°C
2025-03-01 14:39:29 - +46.0°C
2025-03-01 14:39:30 - +45.0°C
2025-03-01 14:39:31 - +46.0°C
2025-03-01 14:39:32 - +45.0°C
2025-03-01 14:39:33 - +46.0°C
2025-03-01 14:39:34 - +45.0°C
2025-03-01 14:39:35 - +46.0°C
2025-03-01 14:39:36 - +45.0°C
2025-03-01 14:39:37 - +46.0°C
2025-03-01 14:39:38 - +46.0°C
2025-03-01 14:39:39 - +45.0°C
2025-03-01 14:39:40 - +45.0°C
2025-03-01 14:39:41 - +46.0°C
2025-03-01 14:39:42 - +45.0°C
2025-03-01 14:39:43 - +46.0°C
2025-03-01 14:39:44 - +45.0°C
2025-03-01 14:39:45 - +46.0°C
2025-03-01 14:39:46 - +46.0°C
2025-03-01 14:39:47 - +46.0°C
2025-03-01 14:39:48 - +46.0°C
2025-03-01 14:39:49 - +46.0°C
2025-03-01 14:39:50 - +45.0°C
2025-03-01 14:39:51 - +46.0°C
2025-03-01 14:39:52 - +46.0°C
2025-03-01 14:39:53 - +46.0°C
2025-03-01 14:39:54 - +46.0°C
2025-03-01 14:39:55 - +45.0°C
2025-03-01 14:39:56 - +46.0°C
2025-03-01 14:39:58 - +46.0°C
2025-03-01 14:39:59 - +46.0°C
2025-03-01 14:40:00 - +46.0°C
2025-03-01 14:40:01 - +46.0°C
2025-03-01 14:40:02 - +46.0°C
2025-03-01 14:40:03 - +46.0°C
2025-03-01 14:40:04 - +45.0°C
2025-03-01 14:40:05 - +46.0°C
2025-03-01 14:40:06 - +45.0°C
2025-03-01 14:40:07 - +46.0°C
2025-03-01 14:40:08 - +46.0°C
2025-03-01 14:40:09 - +46.0°C
2025-03-01 14:40:10 - +45.0°C
2025-03-01 14:40:11 - +45.0°C
2025-03-01 14:40:12 - +46.0°C
2025-03-01 14:40:13 - +45.0°C
2025-03-01 14:40:14 - +46.0°C
2025-03-01 14:40:15 - +45.0°C
2025-03-01 14:40:16 - +46.0°C
2025-03-01 14:40:17 - +46.0°C
2025-03-01 14:40:18 - +46.0°C
2025-03-01 14:40:19 - +45.0°C
2025-03-01 14:40:20 - +46.0°C
2025-03-01 14:40:21 - +46.0°C
2025-03-01 14:40:22 - +46.0°C
2025-03-01 14:40:23 - +46.0°C
2025-03-01 14:40:24 - +46.0°C
2025-03-01 14:40:25 - +45.0°C
2025-03-01 14:40:27 - +46.0°C
2025-03-01 14:40:28 - +46.0°C
2025-03-01 14:40:29 - +45.0°C
2025-03-01 14:40:30 - +46.0°C
2025-03-01 14:40:31 - +46.0°C
2025-03-01 14:40:32 - +44.0°C
2025-03-01 14:40:33 - +44.0°C
2025-03-01 14:40:34 - +46.0°C
2025-03-01 14:40:35 - +45.0°C
2025-03-01 14:40:36 - +45.0°C
2025-03-01 14:40:37 - +45.0°C
2025-03-01 14:40:38 - +46.0°C
2025-03-01 14:40:39 - +46.0°C
2025-03-01 14:40:40 - +46.0°C
2025-03-01 14:40:41 - +46.0°C
